35 23 2216
45 10 2676
10 1112 2049
24 1633 2809
42 1916 1569
5 3082 1644
48 3023 1942
39 3484 2829
32 3245 3305
21 4483 3369
13 4706 2674
25 4307 2322
14 4612 2035
23 5199 2182
11 5468 2606
47 5185 3258
20 5900 3561
43 7280 4899
17 7611 5184
27 7555 4819
19 7732 4723
37 7762 4595
6 7608 4458
30 7352 4506
28 7541 3981
36 7248 3779
7 7573 3716
18 7462 3590
44 7509 3239
31 7545 2801
46 6807 2993
33 6426 3173
12 5989 2873
15 6347 2683
38 7392 2244
8 7265 1268
1 6734 1453
9 6898 1885
40 6271 2135
22 6101 1110
16 6107 669
3 5530 1424
34 4608 1198
41 4985 140
29 3177 756
2 2233 10
26 675 1006
4 401 841
35 23 2216

Distancia: 37535
Tiempo: 0.0696617
